Key,Source,Context,English,German,Russian
Schematicswp,blocks,block,Schematic Worksbench,Bauplan-Werkbank,"Верстак для Схем"
SchematicswpDesc,blocks,block,"Take your schematic parts, paper, some glue and leather to make new Books and Schematics","Benutze deine Bauplanteile, Papier, etwas Leim und Leder um neue Bücher und Baupläne herzustellen.","Здесь вы можете сделать нужные вам книги и схемы из частей схем, бумаги, клея и кожи."
MSchematicParts,items,Item,Schematic Parts,Bauplan-Teile,"Часть Схем"
MSchematicPartsDesc,items,Item,Schematic Parts can be obtained from scrapping books and schematics.,Bauplan-Teile können durch zerlegen von Büchern und Bauplänen erhalten werden.,"Части схем можно получить разбирая ненужные вам схемы и книги."

HuntingDesc,items,Item,This is your order book for hunting.,Das ist dein Auftragsbuch für die Jagd.,"Книги с заказом на охоту."
spGreenThumbDesc,items,Item,"Plant some Seeds like Potato, Corn, Pumpkin and Mushrooms and you will rewared with some Food.","Pflanze Kartoffel-, Mais-, Kürbis- und Pilzsamen und du wirst mit etwas Essen belohnt.","Посадите Немного семян картофеля, кукурузы, тыквы и грибов чтобы получить немного еды."
FetchspBuildingMatsDesc,items,Item,"Collect some Stone, Sand and Cement and i give you some Concrete Mix.","Sammle etwas Stein, Sand und Zement, dann gebe ich dir etwas Betonmischung.","Соберите немного камня, песка и цемента чтобы сделать бетонную смесь."
SkillPointDesc,items,Item,Read this and you will get 1 Skillpoint for fetch 1 Schematic Part.,Lies dies und erhalte 1 Skillpunkt für das Sammeln von einem Bauplan-Teil.,"Прочитав это вы получите 1 очко навыков за получение 1 части схем."

spKill100,items,Item,[CC0000](Kill)[-] 100 Zombies,[CC0000](Töte)[-] 100 Zombies,"[CC0000](Убить)[-] 100 Зомби"
spKill250,items,Item,[CC0000](Kill)[-] 250 Zombies,[CC0000](Töte)[-] 250 Zombies,"[CC0000](Убить)[-] 250 Зомби"
spTGH,items,Item,[CC6600](Hunt)[-] The Great Hunt,[CC6600](Jagd)[-] Großwildjagd,"[CC6600](Охота)[-] Охота на Крупную Дичь"
HuntingTGHDesc,items,Item,"Kill 3 bears, mountain lions, and deer each. Earn experience and 4000 coins.","Töte jeweils 3 Bären, Berglöwen und Hirsche. Erhalte Erfahrung und 4000 Coins.","Убейте по 3 медведя, горного льва (пумы) и оленя и получите опыт и 4000 дюков."
spHdsA,items,Item,[CC6600](Hunt)[-] Hunt down small Animals,[CC6600](Jagd)[-] Kleintierjagd,"[CC6600](Охота)[-] Охота на Мелкую Дичь"
HuntingsADesc,items,Item,"Kill 5 rabbits, chickens, and coyotes each. Earn experience and 2500 coins.","Töte jeweils 5 Hasen, Hühner und Kojoten. Erhalte Erfahrung und 2500 Coins.","Убейте по 5 кроликов, кур и койотов и получите опыт и 2500 дюков."
spGrace,items,Item,[CC0000](Kill)[-] Grace,[CC0000](Töte)[-] Grace,"[CC0000](Убить)[-] Грэйс"
spDireWolf,items,Item,[CC0000](Kill)[-] Dire Wolf,[CC0000](Töte)[-] Schreckenswolf,"[CC0000](Убить)[-] Ужасный Волк"
spGreenThumb,items,Item,[66CC00](Place)[-] Green Thumb,[66CC00](Platzieren)[-] Grüner Daumen,"[66CC00](Местность)[-] Зелёный Палец"
spBuildingMats,items,Item,[CCCC33](Fetch)[-] Building Materials,[CCCC33](Sammeln)[-] Baumaterialien,"[CCCC33](Добыть)[-] Строительные Материалы"
spSkillPointBook,items,Item,[CCCC33](Fetch)[-] Get 1 Skill Point,[CCCC33](Sammeln)[-] Erhalte 1 Skillpunkt,"[CCCC33](Добыть)[-] Получите 1 очко навыков"

q_Kill100,quests,quest,Kill 100 Zombies,Töte 100 Zombies,"Убейте 100 Зомби"
q_Kill100Desc,quests,quest,"Dear Survivor,\n\nkill 100 Zombies for me and i give you some coins as reward.\n\nHurry up!!!","Hallo Überlebender,\n\ntöte 100 Zombies für mich und ich gebe dir einige Münzen als Belohnung.\n\nNun mach schon, beeile dich!!!","Выживший, я с тобой в загадки играть не буду, убей для меня 100 зомби и я дам тебе пару монет в награду. БЕГОМ!!!"
q_Kill250,quests,quest,Kill 250 Zombies,Töte 250 Zombies,"Убейте 250 Зомби"
q_Kill250Desc,quests,quest,"Dear Survivor,\n\nkill 250 Zombies for me and i give you some coins and 1 point for your Skills as reward.\n\nHurry up!!!","Hallo Überlebender,\n\ntöte 250 Zombies für mich und ich gebe dir einige Münzen und 1 Punkt für deine Skills als Belohnung.\n\nNun mach schon, beeile dich!!!","Выживший, я с тобой в загадки играть не буду, убей для меня 250 зомби и получишь пару монет и 1 очко навыков. БЕГОМ!!!"
q_TGH,quests,quest,The Great Hunt,Großwildjagd,"Охота на Крупную Дичь"
