Key,File,Type,UsedInMainMenu,NoTranslate,english,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
qlUiTitle,UI,Label,,,Quick Loot,Schnell-Loot,Botín rápido,Butin rapide,Bottino rapido,クイックルート,빠른 루팅,Szybki łup,Saque rápido,Быстрый лут,Hızlı Yağma,快速搜刮,快速搜刮
qlUiHintOpen,UI,Label,,,Open,Öffnen,Abrir,Ouvrir,Apri,開く,열기,Otwórz,Abrir,Открыть,Aç,打开,開啟
qlUiHintVanillaOpen,UI,Label,,,Open,Öffnen,Abrir,Ouvrir,Apri,開く,열기,Otwórz,Abrir,Открыть,Aç,打开,開啟
qlUiHintTake,UI,Label,,,Take,Nehmen,Tomar,Prendre,Prendi,取る,획득,Weź,Pegar,Взять,Al,拿取,拿取
qlUiHintAll,UI,Label,,,All,Alles,Todo,Tout,Tutto,すべて,모두,Wszystko,Tudo,Всё,Hepsi,全部,全部
qlUiHintMove,UI,Label,,,Move,Bewegen,Mover,Déplacer,Sposta,移動,이동,Przesuń,Mover,Переместить,Hareket,移动,移動
qlUiHintTopBottom,UI,Label,,,Top/Bottom,Oben/Unten,Arriba/Abajo,Haut/Bas,Alto/Basso,上/下,위/아래,Góra/Dół,Topo/Fim,Верх/Низ,Baş/Son,顶部/底部,頂部/底部
qlUiHintScroll,UI,Label,,,Alt + mouse wheel,Alt + Mausrad,Alt + rueda del ratón,Alt + molette,Alt + rotellina mouse,Alt + マウスホイール,Alt + 마우스 휠,Alt + kółko myszy,Alt + roda do mouse,Alt + колесо мыши,Alt + fare tekerleği,Alt + 鼠标滚轮,Alt + 滑鼠滾輪
qlUiQuartzScroll,UI,Label,,,Quartz scroll,Quartz-Scrollen,Desplazamiento Quartz,Défilement Quartz,Scorrimento Quartz,Quartzスクロール,Quartz 스크롤,Przewijanie Quartz,Rolagem Quartz,Прокрутка Quartz,Quartz kaydırma,Quartz 滚动,Quartz 捲動
qlUiEmpty,UI,Label,,,Empty,Leer,Vacío,Vide,Vuoto,空,비어 있음,Puste,Vazio,Пусто,Boş,空,空
qlUiContainerFallback,UI,Label,,,Container,Behälter,Contenedor,Conteneur,Contenitore,コンテナ,컨테이너,Pojemnik,Contêiner,Контейнер,Konteyner,容器,容器
qlUiDroppedLoot,UI,Label,,,Dropped Loot,Fallengelassene Beute,Botín soltado,Butin au sol,Bottino lasciato,ドロップ品,떨어진 전리품,Upuszczony łup,Saque largado,Выпавший лут,Yere düşen ganimet,掉落物品,掉落物品
qlSettingsTabGeneral,UI,Menu,,,QuickLoot,QuickLoot,QuickLoot,QuickLoot,QuickLoot,QuickLoot,QuickLoot,QuickLoot,QuickLoot,QuickLoot,QuickLoot,QuickLoot,QuickLoot
qlSettingsTabControls,UI,Menu,,,Controls,Steuerung,Controles,Commandes,Comandi,操作,조작,Sterowanie,Controles,Управление,Kontroller,控制,控制
qlSettingsTabCompatibility,UI,Menu,,,Compatibility,Kompatibilität,Compatibilidad,Compatibilité,Compatibilità,互換性,호환성,Zgodność,Compatibilidade,Совместимость,Uyumluluk,兼容性,相容性
qlSettingsTabCompatibilityTooltip,UI,Menu,,,Shows read-only QuickLoot compatibility and UI status,Zeigt den schreibgeschützten QuickLoot-Kompatibilitäts- und UI-Status,Muestra el estado de compatibilidad e interfaz de QuickLoot en solo lectura,Affiche l’état de compatibilité et d’interface de QuickLoot en lecture seule,Mostra lo stato di compatibilità e interfaccia di QuickLoot in sola lettura,QuickLootの互換性とUIステータスを読み取り専用で表示,QuickLoot 호환성 및 UI 상태를 읽기 전용으로 표시,Pokazuje tylko do odczytu stan zgodności i interfejsu QuickLoot,Mostra o status de compatibilidade e interface do QuickLoot somente leitura,Показывает статус совместимости и интерфейса QuickLoot только для чтения,QuickLoot uyumluluk ve arayüz durumunu salt okunur gösterir,显示只读的 QuickLoot 兼容性和界面状态,顯示唯讀的 QuickLoot 相容性與介面狀態
qlSettingsCategoryGeneral,UI,Menu,,,General,Allgemein,General,Général,Generale,一般,일반,Ogólne,Geral,Общие,Genel,常规,一般
qlSettingsCategoryInterface,UI,Menu,,,Interface,Oberfläche,Interfaz,Interface,Interfaccia,インターフェイス,인터페이스,Interfejs,Interface,Интерфейс,Arayüz,界面,介面
qlSettingsCategoryKeyBindings,UI,Menu,,,Key Bindings,Tastenbelegung,Asignación de teclas,Raccourcis clavier,Associazioni tasti,キー割り当て,키 설정,Skróty klawiszowe,Atalhos de tecla,Привязки клавиш,Tuş Atamaları,按键绑定,按鍵綁定
qlSettingsCategorySafetyMultiplayer,UI,Menu,,,Safety & Multiplayer,Sicherheit & Mehrspieler,Seguridad y multijugador,Sécurité et multijoueur,Sicurezza e multigiocatore,安全性とマルチプレイ,안전 및 멀티플레이,Bezpieczeństwo i tryb wieloosobowy,Segurança e multijogador,Безопасность и мультиплеер,Güvenlik ve Çok Oyunculu,安全与多人游戏,安全與多人遊戲
