Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
manualMinigun,blocks,Electricity,,,XM214 Microgun,,XM214-Microgun,Microametralladora XM214,Microgun XM214,Microgun XM214,XM214マイクロガン,XM214 마이크로건,XM214 Microgun,Microgun XM214,Микропулемёт XM214,XM214 Microgun,XM214微型机枪,XM214 微型機槍
manualMinigunDesc,blocks,Electricity,,,"A manually controlled XM214 Microgun emplacement. Uses only M193 5.56×45mm Ammo. Sustained fire builds heat; wait for it to cool if it overheats. It degrades with use, so repair it before it breaks or the ammo inside may be lost.",,"Eine manuell gesteuerte XM214-Microgun-Stellung. Verwendet nur M193-5,56×45-mm-Munition. Dauerfeuer erzeugt Hitze; warte bei Überhitzung, bis sie abgekühlt ist. Sie verschleißt bei Benutzung, also repariere sie, bevor sie kaputtgeht oder die enthaltene Munition verloren gehen kann.","Un emplazamiento de microametralladora XM214 controlado manualmente. Solo usa munición M193 de 5,56×45 mm. El fuego sostenido genera calor; espera a que se enfríe si se sobrecalienta. Se degrada con el uso, así que repárala antes de que se rompa o podrías perder la munición que contiene.","Un emplacement de Microgun XM214 contrôlé manuellement. Utilise uniquement des munitions M193 5,56×45 mm. Le tir soutenu accumule de la chaleur ; attendez qu’elle refroidisse en cas de surchauffe. Elle se dégrade à l’usage, alors réparez-la avant qu’elle ne casse, sinon les munitions qu’elle contient peuvent être perdues.","Una postazione Microgun XM214 controllata manualmente. Usa solo munizioni M193 5,56×45 mm. Il fuoco sostenuto genera calore; attendi che si raffreddi se si surriscalda. Si deteriora con l’uso, quindi riparala prima che si rompa o le munizioni contenute potrebbero andare perse.",手動操作式のXM214マイクロガン銃座。M193 5.56×45mm弾のみを使用します。連続射撃で熱が蓄積します。オーバーヒートした場合は冷却を待ってください。使用により劣化するため、破損する前に修理しないと内部の弾薬を失う可能性があります。,"수동으로 조작하는 XM214 마이크로건 거치대입니다. M193 5.56×45mm 탄약만 사용합니다. 지속 사격하면 열이 쌓이며, 과열되면 식을 때까지 기다려야 합니다. 사용하면 내구도가 감소하므로 파괴되기 전에 수리하지 않으면 내부 탄약을 잃을 수 있습니다.","Ręcznie sterowane stanowisko XM214 Microgun. Używa wyłącznie amunicji M193 5,56×45 mm. Długotrwały ogień zwiększa nagrzanie; po przegrzaniu poczekaj, aż ostygnie. Zużywa się podczas używania, więc naprawiaj je, zanim się zniszczy, inaczej amunicja w środku może przepaść.","Uma posição de Microgun XM214 controlada manualmente. Usa apenas Munição M193 5,56×45 mm. Fogo contínuo gera calor; espere esfriar se superaquecer. Ela se desgasta com o uso, então repare antes que quebre ou a munição dentro dela pode ser perdida.","Ручная огневая установка с микропулемётом XM214. Использует только патроны M193 5,56×45 мм. Длительная стрельба накапливает нагрев; при перегреве дождитесь охлаждения. Изнашивается при использовании, поэтому чините её до поломки, иначе боеприпасы внутри могут быть потеряны.","Elle kontrol edilen bir XM214 Microgun mevzisi. Yalnızca M193 5,56×45 mm Mühimmat kullanır. Sürekli ateş ısı biriktirir; aşırı ısınırsa soğumasını bekle. Kullanıldıkça yıpranır, bu yüzden kırılmadan önce onar yoksa içindeki mühimmat kaybolabilir.",一座手动控制的XM214微型机枪阵地。仅使用M193 5.56×45毫米弹药。持续射击会积累热量；过热时请等待冷却。使用会造成损耗，请在损坏前修理，否则内部弹药可能会丢失。,一座手動控制的 XM214 微型機槍陣地。僅使用 M193 5.56×45 毫米彈藥。持續射擊會累積熱量；過熱時請等待冷卻。使用會造成損耗，請在損壞前修理，否則內部彈藥可能會遺失。
manualMinigunDestroyed,blocks,Electricity,,,Destroyed XM214 Microgun,,Zerstörte XM214-Microgun,Microametralladora XM214 destruida,Microgun XM214 détruite,Microgun XM214 distrutta,壊れたXM214マイクロガン,파괴된 XM214 마이크로건,Zniszczony XM214 Microgun,Microgun XM214 destruída,Разрушенный микропулемёт XM214,Yok Edilmiş XM214 Microgun,已损坏的XM214微型机枪,已損壞的 XM214 微型機槍
manualMinigunDestroyedDesc,blocks,Electricity,,,A broken XM214 Microgun emplacement. Repair it with forged steel to restore it.,,"Eine beschädigte XM214-Microgun-Stellung. Repariere sie mit geschmiedetem Stahl, um sie wiederherzustellen.",Un emplazamiento de microametralladora XM214 roto. Repáralo con acero forjado para restaurarlo.,Un emplacement de Microgun XM214 endommagé. Réparez-le avec de l’acier forgé pour le restaurer.,Una postazione Microgun XM214 rotta. Riparala con acciaio forgiato per ripristinarla.,破損したXM214マイクロガン銃座。鍛鋼で修理すると復旧できます。,파손된 XM214 마이크로건 거치대입니다. 단조 강철로 수리하면 복구할 수 있습니다.,"Uszkodzone stanowisko XM214 Microgun. Napraw je stalą kutą, aby je przywrócić.",Uma posição de Microgun XM214 quebrada. Repare com aço forjado para restaurá-la.,"Сломанная огневая установка с микропулемётом XM214. Почините её кованой сталью, чтобы восстановить.",Kırılmış bir XM214 Microgun mevzisi. Geri yüklemek için dövme çelikle onar.,一座损坏的XM214微型机枪阵地。使用锻钢修理即可恢复。,一座損壞的 XM214 微型機槍陣地。使用鍛鋼修理即可恢復。
ammo556M193,items,Ammo,,,M193 5.56×45mm Ammo,,"M193-5,56×45-mm-Munition","Munición M193 de 5,56×45 mm","Munitions M193 5,56×45 mm","Munizioni M193 5,56×45 mm",M193 5.56×45mm弾,M193 5.56×45mm 탄약,"Amunicja M193 5,56×45 mm","Munição M193 5,56×45 mm","Патроны M193 5,56×45 мм","M193 5,56×45 mm Mühimmat",M193 5.56×45毫米弹药,M193 5.56×45 毫米彈藥
ammo556M193Desc,items,Ammo,,,Dedicated ammunition for the XM214 Microgun. Crafted from vanilla or compatible ammo-overhaul components depending on your loaded mods.,,Spezialmunition für die XM214-Microgun. Wird je nach geladenen Mods aus Vanilla- oder kompatiblen Komponenten von Munitions-Overhauls gefertigt.,"Munición dedicada para la microametralladora XM214. Se elabora con componentes vanilla o de revisiones de munición compatibles, según los mods cargados.",Munition dédiée à la Microgun XM214. Fabriquée avec des composants vanilla ou compatibles avec les refontes de munitions selon les mods chargés.,"Munizioni dedicate per la Microgun XM214. Vengono create con componenti vanilla o compatibili con overhaul delle munizioni, in base ai mod caricati.",XM214マイクロガン専用の弾薬です。読み込まれているMODに応じて、バニラまたは互換性のある弾薬オーバーホール用素材から作成されます。,XM214 마이크로건 전용 탄약입니다. 불러온 모드에 따라 바닐라 또는 호환되는 탄약 오버홀 구성품으로 제작됩니다.,"Dedykowana amunicja do XM214 Microgun. Wytwarzana z komponentów vanilla lub zgodnych z modyfikacjami amunicji, zależnie od wczytanych modów.","Munição dedicada para a Microgun XM214. Fabricada com componentes vanilla ou compatíveis com overhauls de munição, dependendo dos mods carregados.",Специальные боеприпасы для микропулемёта XM214. Создаются из ванильных или совместимых компонентов переработки боеприпасов в зависимости от загруженных модов.,XM214 Microgun için özel mühimmat. Yüklü modlarına göre vanilla veya uyumlu mühimmat overhaul bileşenlerinden üretilir.,XM214微型机枪专用弹药。会根据已加载的模组，使用原版或兼容弹药改造组件制作。,XM214 微型機槍專用彈藥。會根據已載入的模組，使用原版或相容彈藥改造組件製作。
ammoBundleammo556M193,items,Ammo,,,Box of M193 5.56×45mm (100),,"Kiste M193 5,56×45 mm (100)","Caja de M193 5,56×45 mm (100)","Boîte de M193 5,56×45 mm (100)","Scatola di M193 5,56×45 mm (100)",M193 5.56×45mm弾の箱（100）,M193 5.56×45mm 상자 (100),"Pudełko M193 5,56×45 mm (100)","Caixa de M193 5,56×45 mm (100)","Коробка M193 5,56×45 мм (100)","M193 5,56×45 mm Kutusu (100)",M193 5.56×45毫米弹药箱（100）,M193 5.56×45 毫米彈藥箱（100）
ammoBundleammo556M193Desc,items,Ammo,,,A boxed stack of 100 M193 5.56×45mm rounds for the XM214 Microgun. Use it to unpack the ammo.,,"Ein Munitionskarton mit 100 M193-5,56×45-mm-Patronen für die XM214-Microgun. Benutze ihn, um die Munition auszupacken.","Una caja con 100 cartuchos M193 de 5,56×45 mm para la microametralladora XM214. Úsala para desempaquetar la munición.","Une boîte de 100 cartouches M193 5,56×45 mm pour la Microgun XM214. Utilisez-la pour déballer les munitions.","Una scatola da 100 colpi M193 5,56×45 mm per la Microgun XM214. Usala per estrarre le munizioni.",XM214マイクロガン用のM193 5.56×45mm弾が100発入った箱です。使用すると弾薬を取り出せます。,XM214 마이크로건용 M193 5.56×45mm 탄약 100발 상자입니다. 사용하면 탄약을 꺼낼 수 있습니다.,"Pudełko zawierające 100 nabojów M193 5,56×45 mm do XM214 Microgun. Użyj, aby rozpakować amunicję.","Uma caixa com 100 projéteis M193 5,56×45 mm para a Microgun XM214. Use para desempacotar a munição.","Коробка со 100 патронами M193 5,56×45 мм для микропулемёта XM214. Используйте, чтобы распаковать боеприпасы.","XM214 Microgun için 100 adet M193 5,56×45 mm mermi içeren kutu. Mühimmatı açmak için kullan.",一箱用于XM214微型机枪的100发M193 5.56×45毫米弹药。使用后可拆开弹药。,一箱用於 XM214 微型機槍的 100 發 M193 5.56×45 毫米彈藥。使用後可拆開彈藥。
ttNotPowered,UI,Tooltip,,,This device requires power to work.,,"Dieses Gerät benötigt Strom, um zu funktionieren.",Este dispositivo necesita energía para funcionar.,Cet appareil a besoin d’électricité pour fonctionner.,Questo dispositivo richiede energia per funzionare.,この装置を作動させるには電力が必要です。,이 장치는 작동하려면 전력이 필요합니다.,To urządzenie wymaga zasilania.,Este dispositivo precisa de energia para funcionar.,Для работы этому устройству требуется питание.,Bu cihazın çalışması için güç gerekir.,此装置需要供电才能工作。,此裝置需要供電才能運作。
useMinigun,UI,HUD,,,Use Turret,,Geschützturm benutzen,Usar torreta,Utiliser la tourelle,Usa torretta,タレットを使う,터렛 사용,Użyj wieżyczki,Usar torreta,Использовать турель,Tareti Kullan,使用炮塔,使用砲塔
manualMinigunHudAmmo,UI,HUD,,,AMMO,,MUNITION,MUNICIÓN,MUNITIONS,MUNIZIONI,弾薬,탄약,AMUNICJA,MUNIÇÃO,БОЕПРИПАСЫ,MÜHİMMAT,弹药,彈藥
