Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

# ==================================================================================================
# AMMO POUCH ITEM MODIFIERS
# Armor mod names and descriptions for the ammo pouch tier line.
# These keys are used by item_modifiers.xml and the game also looks up Desc rows automatically.
# ==================================================================================================
modArmorPackwiselyAmmoPouchT1,item_modifiers,Mod,,x,Small Ammo Pouch,,Kleine Munitionstasche,Bolsa pequeña de munición,Petite poche à munitions,Tasca munizioni piccola,小型弾薬ポーチ,소형 탄약 파우치,Mała ładownica na amunicję,Bolsa pequena de munição,Малый подсумок для боеприпасов,Küçük Cephane Cebi,小型弹药包,小型彈藥包
modArmorPackwiselyAmmoPouchT1Desc,item_modifiers,Mod,,x,A compact chest armor pouch that unlocks a small dedicated ammo container.,,"Kompakte Brustpanzer-Tasche, die einen kleinen eigenen Munitionsbehälter freischaltet.",Bolsa compacta para armadura de pecho que desbloquea un pequeño contenedor dedicado a munición.,Poche compacte pour armure de torse qui débloque un petit conteneur dédié aux munitions.,Tasca compatta per armatura toracica che sblocca un piccolo contenitore dedicato alle munizioni.,胴体防具に取り付ける小型ポーチ。専用の小さな弾薬コンテナを開ける。,흉갑에 장착하는 소형 파우치입니다. 작은 전용 탄약 보관함을 엽니다.,"Kompaktowa ładownica do pancerza na tors, odblokowująca mały osobny pojemnik na amunicję.",Bolsa compacta para armadura peitoral que libera um pequeno recipiente exclusivo para munição.,"Компактный подсумок для нагрудной брони, открывающий небольшой отдельный контейнер для боеприпасов.",Göğüs zırhına takılan küçük bir cephane cebi. Küçük bir özel cephane bölmesi açar.,装在胸甲上的小型弹药包，可开启一个小型专用弹药容器。,裝在胸甲上的小型彈藥包，可開啟一個小型專用彈藥容器。
modArmorPackwiselyAmmoPouchT2,item_modifiers,Mod,,x,Ammo Pouch,,Munitionstasche,Bolsa de munición,Poche à munitions,Tasca munizioni,弾薬ポーチ,탄약 파우치,Ładownica na amunicję,Bolsa de munição,Подсумок для боеприпасов,Cephane Cebi,弹药包,彈藥包
modArmorPackwiselyAmmoPouchT2Desc,item_modifiers,Mod,,x,A dedicated ammo pouch for keeping ammunition out of your main backpack.,,"Eigene Munitionstasche, damit Munition nicht den Haupt-Rucksack verstopft.",Bolsa dedicada para mantener la munición fuera de tu mochila principal.,Poche dédiée pour garder les munitions hors de votre sac principal.,Tasca dedicata per tenere le munizioni fuori dallo zaino principale.,メインバックパックから弾薬を分けて管理する専用ポーチ。,주 배낭에서 탄약을 따로 보관하기 위한 전용 파우치입니다.,"Osobna ładownica, która trzyma amunicję poza głównym plecakiem.",Bolsa dedicada para manter munição fora da mochila principal.,"Отдельный подсумок, чтобы боеприпасы не занимали основной рюкзак.",Cephaneyi ana çantadan ayrı tutmak için özel bir cephane cebi.,专用弹药包，让弹药不再占用主背包空间。,專用彈藥包，讓彈藥不再佔用主背包空間。
